"","Genotype","Gain","Loss","Isolate_Count","rate","net_gain","net_loss","cluster","category"
"1","aac(2')-IIa",10,0,12,1.2,12,0,"2","GC"
"2","aac(3)",133,2,159,1.21374045801527,161.427480916031,2.42748091603053,"4","GC"
"3","aac(3)-I",1,0,1,1,1,0,"1","TBD"
"4","aac(3)-Ib",2,0,2,1,2,0,"1","TBD"
"5","aac(3)-II",214,1,241,1.13145539906103,242.131455399061,1.13145539906103,"4","GC"
"6","aac(3)-IIa",256,17,419,1.75313807531381,448.803347280335,29.8033472803347,"4","GC"
"7","aac(3)-IId",486,13,681,1.43974630021142,699.716701902748,18.7167019027484,"3","SS"
"8","aac(3)-IV",271,5,350,1.31578947368421,356.578947368421,6.57894736842105,"4","GC"
"9","aac(3)-VIa",250,5,318,1.29795918367347,324.489795918367,6.48979591836735,"4","GC"
"10","aac(6')",4,0,6,1.5,6,0,"2","GC"
"11","aac(6')-33",2,0,2,1,2,0,"1","TBD"
"12","aac(6')-Ia",2,0,2,1,2,0,"1","TBD"
"13","aac(6')-Ian",2,0,2,1,2,0,"1","TBD"
"14","aac(6')-Ib",180,6,251,1.44252873563218,259.655172413793,8.6551724137931,"4","GC"
"15","aac(6')-Ib-cr",171,21,318,2.12,362.52,44.52,"4","GC"
"16","aac(6')-Ib-cr5",238,4,341,1.45726495726496,346.82905982906,5.82905982905983,"4","GC"
"17","aac(6')-Ib-cr7",1,0,1,1,1,0,"1","TBD"
"18","aac(6')-Ib'",15,0,16,1.06666666666667,16,0,"2","GC"
"19","aac(6')-Ib11",5,0,5,1,5,0,"2","GC"
"20","aac(6')-Ib3",40,0,48,1.2,48,0,"2","GC"
"21","aac(6')-Ib4",14,1,22,1.69230769230769,23.6923076923077,1.69230769230769,"2","GC"
"22","aac(6')-IIa",2,0,2,1,2,0,"1","TBD"
"23","aac(6')-IIc",5,0,6,1.2,6,0,"2","GC"
"24","aac(6')-Il",14,0,14,1,14,0,"2","GC"
"25","aacA",1,0,1,1,1,0,"1","TBD"
"26","aacA34",1,0,1,1,1,0,"1","TBD"
"27","aad9",4,0,4,1,4,0,"2","GC"
"28","aadA1",1548,121,3521,2.46741415557113,3819.55711282411,298.557112824107,"3","SS"
"29","aadA10",1,0,1,1,1,0,"1","TBD"
"30","aadA12",38,0,41,1.07894736842105,41,0,"2","GC"
"31","aadA13",18,0,21,1.16666666666667,21,0,"2","GC"
"32","aadA15",13,0,14,1.07692307692308,14,0,"2","GC"
"33","aadA16",38,1,43,1.16216216216216,44.1621621621622,1.16216216216216,"2","GC"
"34","aadA17",1,0,1,1,1,0,"1","TBD"
"35","aadA2",815,52,1250,1.63826998689384,1335.19003931848,85.1900393184797,"3","SS"
"36","aadA21",3,0,3,1,3,0,"1","TBD"
"37","aadA22",89,0,94,1.0561797752809,94,0,"4","GC"
"38","aadA24",34,0,43,1.26470588235294,43,0,"2","GC"
"39","aadA25",21,0,22,1.04761904761905,22,0,"2","GC"
"40","aadA3",3,0,3,1,3,0,"1","TBD"
"41","aadA4",11,0,11,1,11,0,"2","GC"
"42","aadA5",481,118,1369,3.77134986225895,1814.01928374656,445.019283746556,"3","SS"
"43","aadA6",28,0,28,1,28,0,"2","GC"
"44","aadA7",34,0,44,1.29411764705882,44,0,"2","GC"
"45","aadA8",5,0,5,1,5,0,"2","GC"
"46","aadD1",2,0,2,1,2,0,"1","TBD"
"47","abc-f",15,0,16,1.06666666666667,16,0,"2","GC"
"48","ampC",90,3,276,3.17241379310345,285.51724137931,9.51724137931035,"4","GC"
"49","ant",7,0,12,1.71428571428571,12,0,"2","GC"
"50","ant(2'')-Ia",87,1,117,1.36046511627907,118.360465116279,1.36046511627907,"4","GC"
"51","ant(3'')",176,3,228,1.31791907514451,231.953757225434,3.95375722543353,"4","GC"
"52","ant(3'')-Ia",6,0,6,1,6,0,"2","GC"
"53","ant(6)",1,0,1,1,1,0,"1","TBD"
"54","aph(3'')",123,0,125,1.01626016260163,125,0,"4","GC"
"55","aph(3'')-Ib",2370,568,6830,3.79023307436182,8982.85238623751,2152.85238623751,"3","SS"
"56","aph(3')",12,0,13,1.08333333333333,13,0,"2","GC"
"57","aph(3')-I",9,0,9,1,9,0,"2","GC"
"58","aph(3')-Ia",1044,54,1746,1.76363636363636,1841.23636363636,95.2363636363636,"3","SS"
"59","aph(3')-Ib",1,0,1,1,1,0,"1","TBD"
"60","aph(3')-II",16,0,18,1.125,18,0,"2","GC"
"61","aph(3')-IIa",205,0,245,1.19512195121951,245,0,"4","GC"
"62","aph(3')-VI",8,0,8,1,8,0,"2","GC"
"63","aph(3')-VIa",2,0,2,1,2,0,"1","TBD"
"64","aph(3')-VIb",1,0,1,1,1,0,"1","TBD"
"65","aph(3')-XV",4,0,4,1,4,0,"2","GC"
"66","aph(4)-Ia",251,8,312,1.28395061728395,322.271604938272,10.2716049382716,"4","GC"
"67","aph(6)-I",164,0,181,1.10365853658537,181,0,"4","GC"
"68","aph(6)-Ic",83,0,99,1.19277108433735,99,0,"4","GC"
"69","aph(6)-Id",2366,572,6809,3.79542920847269,8979.98550724638,2170.98550724638,"3","SS"
"70","armA",24,0,26,1.08333333333333,26,0,"2","GC"
"71","arr",21,0,22,1.04761904761905,22,0,"2","GC"
"72","arr-2",32,0,32,1,32,0,"2","GC"
"73","arr-3",127,1,146,1.15873015873016,147.15873015873,1.15873015873016,"4","GC"
"74","bla",214,0,237,1.10747663551402,237,0,"4","GC"
"75","blaACC",1,0,2,2,2,0,"1","TBD"
"76","blaACC-1",2,0,2,1,2,0,"1","TBD"
"77","blaACC-1d",1,0,1,1,1,0,"1","TBD"
"78","blaACT",3,0,5,1.66666666666667,5,0,"2","GC"
"79","blaACT-17",1,0,4,4,4,0,"2","GC"
"80","blaACT-4",1,0,1,1,1,0,"1","TBD"
