Gain,Loss,Genotype
23,109,blaEC
10,17,blaEC-5
49,35,fosA7
325,116,blaOXA-1
2155,749,sul2
365,122,sat2
481,118,aadA5
531,129,dfrA17
2366,572,aph(6)-Id
2370,568,aph(3'')-Ib
2158,515,blaTEM-1
858,196,mph(A)
2006,425,tet(A)
361,72,blaCTX-M-15
1536,287,qacEdelta1
1551,283,sul1
579,91,catA1
8,1,catA
171,21,aac(6')-Ib-cr
67,8,blaNDM-5
45,5,tet(D)
76,8,blaCTX-M-27
227,20,sat1
92,8,fosA
207,17,dfrA5
1768,144,tet(B)
1548,121,aadA1
27,2,blaCMY-42
14,1,aac(6')-Ib4
256,17,aac(3)-IIa
815,52,aadA2
16,1,blaOXA-2
733,45,dfrA1
1044,54,aph(3')-Ia
136,7,dfrA7
866,44,floR
23,1,qepA
258,11,ble
298,12,dfrA8
227,9,oqxB
177,7,fosA3
469,16,qacL
90,3,ampC
180,6,aac(6')-Ib
662,22,dfrA12
251,8,aph(4)-Ia
204,6,oqxA
214,6,blaTEM
572,16,dfrA14
37,1,qnrB
486,13,aac(3)-IId
38,1,aadA16
77,2,qacG2
42,1,dfrA15
214,5,catB3
363,8,mcr-1.1
49,1,blaNDM-1
250,5,aac(3)-VIa
51,1,blaOXA
468,9,cmlA1
531,10,sul3
271,5,aac(3)-IV
55,1,blaCMY
176,3,ant(3'')
238,4,aac(6')-Ib-cr5
437,7,blaCMY-2
133,2,aac(3)
295,4,bleO
524,7,qnrS1
83,1,rmtB1
167,2,qnrB19
87,1,ant(2'')-Ia
291,3,blaCTX-M-14
127,1,arr-3
279,2,tet(M)
144,1,qacE
214,1,aac(3)-II
241,1,blaCTX-M-55
246,1,erm(B)
1,0,aac(3)-I
1,0,aac(6')-Ib-cr7
1,0,aacA
1,0,aacA34
1,0,aadA10
1,0,aadA17
1,0,ant(6)
1,0,aph(3')-Ib
1,0,aph(3')-VIb
1,0,blaACC
1,0,blaACC-1d
1,0,blaACT-17
1,0,blaACT-4
1,0,blaACT-45
1,0,blaACT-52
1,0,blaCAR
1,0,blaCARB
1,0,blaCMY-111
1,0,blaCMY-23
1,0,blaCMY-24
1,0,blaCMY-33
1,0,blaCMY-44
1,0,blaCMY-48
1,0,blaCMY-58
1,0,blaCMY-59
1,0,blaCMY-65
1,0,blaCMY-75
1,0,blaCMY-82
1,0,blaCTX-M-104
1,0,blaCTX-M-116
1,0,blaCTX-M-132
1,0,blaCTX-M-134
1,0,blaCTX-M-166
1,0,blaCTX-M-179
1,0,blaCTX-M-182
1,0,blaDHA-20
1,0,blaDHA-7
1,0,blaFOX
1,0,blaGES
1,0,blaGIL
1,0,blaIMI
1,0,blaIMP-14
1,0,blaIMP-26
1,0,blaIMP-6
1,0,blaKPC
1,0,blaKPC-18
1,0,blaLAP-1
1,0,blaLAT
1,0,blaLEN-13
1,0,blaMIR-12
1,0,blaNDM-21
1,0,blaNDM-6
1,0,blaOCH
1,0,blaOKP
1,0,blaOXA-129
1,0,blaOXA-163
1,0,blaOXA-364
1,0,blaOXY
1,0,blaPC1
1,0,blaPER-2
1,0,blaPSE
1,0,blaR1
1,0,blaROB
1,0,blaSED
1,0,blaSFO-1
1,0,blaSHV-11
1,0,blaSHV-26
1,0,blaSHV-27
1,0,blaSHV-33
1,0,blaSRT
1,0,blaTEM-105
1,0,blaTEM-148
1,0,blaTEM-154
1,0,blaTEM-156
1,0,blaTEM-166
1,0,blaTEM-20
1,0,blaTEM-207
1,0,blaTEM-208
1,0,blaTEM-26
1,0,blaTEM-3
1,0,blaTEM-54
1,0,blaTEM-8
1,0,blaTEM-9
1,0,blaVEB-1
1,0,blaVEB-17
1,0,blaVEB-5
1,0,blaVIM-29
1,0,blaVIM-4
1,0,blaZ
1,0,ble-Sh
1,0,catB1
1,0,catB8
1,0,cmlA4
1,0,cphA
1,0,cphA1
1,0,dfrA22
1,0,dfrA26
1,0,dfrA3b
1,0,dfrA6
1,0,dfrF
1,0,ere(C)
1,0,erm(C)
1,0,erm(F)
1,0,mcr-1.2
1,0,mcr-1.4
1,0,mcr-1.7
1,0,mcr-2
1,0,mcr-3.2
1,0,oqxA10
1,0,oqxA3
1,0,oqxB19
1,0,oqxB25
1,0,oqxB29
