"","PDG","PDT","bioproject"
"1","PDG000000004.1046","PDT000004437.2","PRJNA259"
"2","PDG000000004.1046","PDT000004467.2","PRJNA313"
"3","PDG000000004.1046","PDT000004596.2","PRJNA18057"
"4","PDG000000004.1046","PDT000004711.2","PRJNA16235"
"5","PDG000000004.1046","PDT000004786.2","PRJNA16718"
"6","PDG000000004.1046","PDT000004909.2","PRJNA13960"
"7","PDG000000004.1046","PDT000004910.2","PRJNA13959"
"8","PDG000000004.1046","PDT000004919.2","PRJNA18281"
"9","PDG000000004.1046","PDT000005193.2","PRJNA33369"
"10","PDG000000004.1046","PDT000005194.2","PRJNA33413"
"11","PDG000000004.1046","PDT000005195.2","PRJNA33373"
"12","PDG000000004.1046","PDT000005197.2","PRJNA33409"
"13","PDG000000004.1046","PDT000005199.2","PRJNA33411"
"14","PDG000000004.1046","PDT000005266.2","PRJDA32511"
"15","PDG000000004.1046","PDT000005268.2","PRJDA32513"
"16","PDG000000004.1046","PDT000005323.2","PRJNA42729"
"17","PDG000000004.1046","PDT000007694.2","PRJNA43693"
"18","PDG000000004.1046","PDT000007741.2","PRJEA40647"
"19","PDG000000004.1046","PDT000007760.2","PRJDA19053"
"20","PDG000000004.1046","PDT000005204.2","PRJEA32571"
"21","PDG000000004.1046","PDT000007688.2","PRJNA30031"
"22","PDG000000004.1046","PDT000005156.2","PRJNA30681"
"23","PDG000000004.1046","PDT000004589.3","PRJNA16351"
"24","PDG000000004.1046","PDT000005114.2","PRJNA33775"
"25","PDG000000004.1046","PDT000004980.2","PRJNA18083"
"26","PDG000000004.1046","PDT000004982.2","PRJNA20079"
"27","PDG000000004.1046","PDT000005061.2","PRJNA27739"
"28","PDG000000004.1046","PDT000005109.2","PRJNA30045"
"29","PDG000000004.1046","PDT000004992.2","PRJNA19469"
"30","PDG000000004.1046","PDT000004709.2","PRJNA16259"
"31","PDG000000004.1046","PDT000006785.2","PRJDA32509"
"32","PDG000000004.1046","PDT000007759.2","PRJNA20713"
"33","PDG000000004.1046","PDT000007695.2","PRJNA38725"
"34","PDG000000004.1046","PDT000010908.2","PRJNA51747"
"35","PDG000000004.1046","PDT000007689.2","PRJNA50883"
"36","PDG000000004.1046","PDT000005521.2","PRJNA28851"
"37","PDG000000004.1046","PDT000005522.2","PRJNA28847"
"38","PDG000000004.1046","PDT000005662.2","PRJNA32507"
"39","PDG000000004.1046","PDT000005693.2","PRJNA31467"
"40","PDG000000004.1046","PDT000005858.2","PRJNA38905"
"41","PDG000000004.1046","PDT000005859.2","PRJNA38915"
"42","PDG000000004.1046","PDT000005860.2","PRJNA38917"
"43","PDG000000004.1046","PDT000005861.2","PRJNA39915"
"44","PDG000000004.1046","PDT000005862.2","PRJNA39917"
"45","PDG000000004.1046","PDT000006415.2","PRJNA47219"
"46","PDG000000004.1046","PDT000006416.2","PRJNA47273"
"47","PDG000000004.1046","PDT000006417.2","PRJNA47227"
"48","PDG000000004.1046","PDT000006421.2","PRJNA47265"
"49","PDG000000004.1046","PDT000006418.2","PRJNA47269"
"50","PDG000000004.1046","PDT000006419.2","PRJNA47205"
"51","PDG000000004.1046","PDT000006422.2","PRJNA47207"
"52","PDG000000004.1046","PDT000006424.2","PRJNA47213"
"53","PDG000000004.1046","PDT000006431.2","PRJNA47241"
"54","PDG000000004.1046","PDT000008470.2","PRJNA47231"
"55","PDG000000004.1046","PDT000006420.2","PRJNA47229"
"56","PDG000000004.1046","PDT000006423.2","PRJNA47275"
"57","PDG000000004.1046","PDT000006425.2","PRJNA47271"
"58","PDG000000004.1046","PDT000006428.2","PRJNA47217"
"59","PDG000000004.1046","PDT000006511.2","PRJNA47263"
"60","PDG000000004.1046","PDT000008471.2","PRJNA47225"
"61","PDG000000004.1046","PDT000008472.2","PRJNA47257"
"62","PDG000000004.1046","PDT000008473.2","PRJNA47259"
"63","PDG000000004.1046","PDT000006426.2","PRJNA47267"
"64","PDG000000004.1046","PDT000008474.2","PRJNA47211"
"65","PDG000000004.1046","PDT000008475.2","PRJNA47209"
"66","PDG000000004.1046","PDT000005931.2","PRJNA15572"
"67","PDG000000004.1046","PDT000005932.2","PRJNA15576"
"68","PDG000000004.1046","PDT000005933.2","PRJNA15577"
"69","PDG000000004.1046","PDT000005934.2","PRJNA15578"
"70","PDG000000004.1046","PDT000005943.2","PRJNA16193"
"71","PDG000000004.1046","PDT000006090.2","PRJNA27741"
"72","PDG000000004.1046","PDT000006093.2","PRJNA27749"
"73","PDG000000004.1046","PDT000006094.2","PRJNA27751"
"74","PDG000000004.1046","PDT000006095.2","PRJNA27753"
"75","PDG000000004.1046","PDT000006096.2","PRJNA27757"
"76","PDG000000004.1046","PDT000006091.2","PRJNA27743"
"77","PDG000000004.1046","PDT000006092.2","PRJNA27745"
"78","PDG000000004.1046","PDT000006097.2","PRJNA27755"
"79","PDG000000004.1046","PDT000006236.2","PRJNA36543"
"80","PDG000000004.1046","PDT000006235.2","PRJNA32275"
"81","PDG000000004.1046","PDT000010901.2","PRJNA42809"
"82","PDG000000004.1046","PDT000010902.2","PRJNA42811"
"83","PDG000000004.1046","PDT000010904.2","PRJNA42815"
"84","PDG000000004.1046","PDT000010905.2","PRJNA42817"
"85","PDG000000004.1046","PDT000010907.2","PRJNA42821"
"86","PDG000000004.1046","PDT000006337.2","PRJNA40703"
"87","PDG000000004.1046","PDT000006339.2","PRJNA40709"
"88","PDG000000004.1046","PDT000006338.2","PRJNA40707"
"89","PDG000000004.1046","PDT000008490.2","PRJNA40699"
"90","PDG000000004.1046","PDT000006340.2","PRJNA40713"
"91","PDG000000004.1046","PDT000008491.2","PRJNA40701"
"92","PDG000000004.1046","PDT000006357.2","PRJNA47121"
"93","PDG000000004.1046","PDT000006376.2","PRJNA27735"
"94","PDG000000004.1046","PDT000006377.2","PRJNA27733"
"95","PDG000000004.1046","PDT000006378.2","PRJNA27737"
"96","PDG000000004.1046","PDT000007742.2","PRJNA41221"
"97","PDG000000004.1046","PDT000006457.2","PRJNA42709"
"98","PDG000000004.1046","PDT000006505.2","PRJNA40275"
"99","PDG000000004.1046","PDT000007690.2","PRJNA48011"
"100","PDG000000004.1046","PDT000007753.2","PRJEA28965"
"101","PDG000000004.1046","PDT000007391.2","PRJNA33875"
"102","PDG000000004.1046","PDT000008593.2","PRJNA39013"
"103","PDG000000004.1046","PDT000008595.2","PRJNA39045"
"104","PDG000000004.1046","PDT000008592.2","PRJNA39103"
"105","PDG000000004.1046","PDT000008589.2","PRJNA38945"
"106","PDG000000004.1046","PDT000008590.2","PRJNA38949"
"107","PDG000000004.1046","PDT000008583.2","PRJNA38981"
"108","PDG000000004.1046","PDT000008591.2","PRJNA38971"
"109","PDG000000004.1046","PDT000008584.2","PRJNA38985"
"110","PDG000000004.1046","PDT000008596.2","PRJNA38067"
"111","PDG000000004.1046","PDT000008588.2","PRJNA38941"
"112","PDG000000004.1046","PDT000010190.2","PRJNA62485"
"113","PDG000000004.1046","PDT000010932.2","PRJNA51095"
"114","PDG000000004.1046","PDT000007740.2","PRJEA42749"
"115","PDG000000004.1046","PDT000006899.2","PRJNA39033"
"116","PDG000000004.1046","PDT000006900.2","PRJNA39039"
"117","PDG000000004.1046","PDT000006901.2","PRJNA39043"
"118","PDG000000004.1046","PDT000006902.2","PRJNA39085"
"119","PDG000000004.1046","PDT000006903.2","PRJNA39079"
"120","PDG000000004.1046","PDT000006906.2","PRJNA39021"
"121","PDG000000004.1046","PDT000006907.2","PRJNA38991"
"122","PDG000000004.1046","PDT000010931.2","PRJNA51093"
"123","PDG000000004.1046","PDT000008782.2","PRJNA65321"
"124","PDG000000004.1046","PDT000010991.2","PRJNA67929"
"125","PDG000000004.1046","PDT000010995.2","PRJNA67657"
"126","PDG000000004.1046","PDT000008897.2","PRJNA70725"
"127","PDG000000004.1046","PDT000007691.2","PRJNA63597"
"128","PDG000000004.1046","PDT000009038.2","PRJNA48455"
"129","PDG000000004.1046","PDT000007692.2","PRJNA52021"
"130","PDG000000004.1046","PDT000007693.2","PRJNA52023"
"131","PDG000000004.1046","PDT000008848.2","PRJNA68153"
"132","PDG000000004.1046","PDT000008850.2","PRJNA68213"
"133","PDG000000004.1046","PDT000008851.2","PRJNA68211"
"134","PDG000000004.1046","PDT000008890.2","PRJNA70737"
"135","PDG000000004.1046","PDT000008849.2","PRJNA68155"
"136","PDG000000004.1046","PDT000008891.2","PRJNA70739"
"137","PDG000000004.1046","PDT000008889.2","PRJNA70735"
"138","PDG000000004.1046","PDT000008892.2","PRJNA70741"
"139","PDG000000004.1046","PDT000008888.2","PRJNA70733"
"140","PDG000000004.1046","PDT000008894.2","PRJNA70745"
"141","PDG000000004.1046","PDT000008893.2","PRJNA70743"
"142","PDG000000004.1046","PDT000008895.2","PRJNA70747"
"143","PDG000000004.1046","PDT000008852.2","PRJNA68215"
"144","PDG000000004.1046","PDT000008839.2","PRJNA39015"
"145","PDG000000004.1046","PDT000008840.2","PRJNA39075"
"146","PDG000000004.1046","PDT000008698.2","PRJNA38907"
"147","PDG000000004.1046","PDT000008699.2","PRJNA38935"
"148","PDG000000004.1046","PDT000008700.2","PRJNA39001"
"149","PDG000000004.1046","PDT000008911.2","PRJNA70787"
"150","PDG000000004.1046","PDT000010917.2","PRJNA59745"
"151","PDG000000004.1046","PDT000008637.2","PRJNA61477"
"152","PDG000000004.1046","PDT000008697.2","PRJNA48269"
