mcr_group,pdt
MCR01,PDT000136717.1
MCR01,PDT000225233.1
MCR01,PDT000274333.1
MCR01,PDT000287996.1
MCR01,PDT000289872.1
MCR01,PDT000289878.1
MCR01,PDT000289881.1
MCR01,PDT000289901.1
MCR01,PDT000289912.1
MCR01,PDT000291283.1
MCR01,PDT000298014.1
MCR01,PDT000298027.1
MCR01,PDT000298063.1
MCR01,PDT000298089.1
MCR01,PDT000346561.1
MCR01,PDT000346609.1
MCR01,PDT000346615.1
MCR01,PDT000346625.1
MCR01,PDT000346634.1
MCR01,PDT000346664.1
MCR01,PDT000346820.1
MCR01,PDT000346829.1
MCR01,PDT000346901.1
MCR01,PDT000346943.1
MCR02,PDT000124638.1
MCR02,PDT000124642.1
MCR02,PDT000124649.1
MCR02,PDT000124650.1
MCR02,PDT000124670.1
MCR02,PDT000124676.1
MCR02,PDT000124681.1
MCR02,PDT000124686.1
MCR02,PDT000124688.1
MCR02,PDT000124714.1
MCR02,PDT000124725.1
MCR02,PDT000129924.1
MCR02,PDT000130968.1
MCR02,PDT000135480.1
MCR02,PDT000158042.1
MCR02,PDT000168716.1
MCR02,PDT000168747.1
MCR02,PDT000168748.1
MCR02,PDT000168749.1
MCR02,PDT000168750.1
MCR02,PDT000168751.1
MCR02,PDT000168752.1
MCR02,PDT000168759.1
MCR02,PDT000168767.1
MCR02,PDT000168778.1
MCR02,PDT000168785.1
MCR02,PDT000168794.1
MCR02,PDT000168809.1
MCR02,PDT000168818.1
MCR02,PDT000168827.1
MCR02,PDT000168848.1
MCR02,PDT000168871.1
MCR02,PDT000168873.1
MCR02,PDT000168877.1
MCR02,PDT000171419.1
MCR02,PDT000171420.1
MCR02,PDT000176456.1
MCR02,PDT000181819.2
MCR02,PDT000208669.1
MCR02,PDT000212786.1
MCR02,PDT000212793.1
MCR02,PDT000219683.1
MCR02,PDT000219685.1
MCR02,PDT000219684.1
MCR02,PDT000219686.1
MCR02,PDT000225232.1
MCR02,PDT000225234.1
MCR02,PDT000225235.1
MCR02,PDT000225239.1
MCR02,PDT000225241.1
MCR02,PDT000225242.1
MCR02,PDT000225244.1
MCR02,PDT000227987.1
MCR02,PDT000233270.1
MCR02,PDT000233299.1
MCR02,PDT000233325.1
MCR02,PDT000233842.1
MCR02,PDT000236047.1
MCR02,PDT000237131.1
MCR02,PDT000237132.1
MCR02,PDT000237135.1
MCR02,PDT000237136.1
MCR02,PDT000237137.1
MCR02,PDT000240704.1
MCR02,PDT000240705.1
MCR02,PDT000240707.1
MCR02,PDT000264500.1
MCR02,PDT000264501.1
MCR02,PDT000276016.1
MCR02,PDT000276018.1
MCR02,PDT000276020.1
MCR02,PDT000276021.1
MCR02,PDT000276022.1
MCR02,PDT000276841.1
MCR02,PDT000281814.1
MCR02,PDT000287993.1
MCR02,PDT000289871.1
MCR02,PDT000289872.1
MCR02,PDT000289874.1
MCR02,PDT000289875.1
MCR02,PDT000289876.1
MCR02,PDT000289878.1
MCR02,PDT000289880.1
MCR02,PDT000289881.1
MCR02,PDT000289883.1
MCR02,PDT000289888.1
MCR02,PDT000289891.1
MCR02,PDT000289894.1
MCR02,PDT000289897.1
MCR02,PDT000289898.1
MCR02,PDT000289899.1
MCR02,PDT000289901.1
MCR02,PDT000289903.1
MCR02,PDT000289904.1
MCR02,PDT000289905.1
MCR02,PDT000289907.1
MCR02,PDT000289910.1
MCR02,PDT000289912.1
MCR02,PDT000290003.1
MCR02,PDT000291269.1
MCR02,PDT000291280.1
MCR02,PDT000291281.1
MCR02,PDT000291284.1
MCR02,PDT000291287.1
MCR02,PDT000294380.1
MCR02,PDT000294381.1
MCR02,PDT000294383.1
MCR02,PDT000294389.1
MCR02,PDT000294390.1
MCR02,PDT000294391.1
MCR02,PDT000294397.1
MCR02,PDT000294410.1
MCR02,PDT000298021.1
MCR02,PDT000298034.1
MCR02,PDT000298035.1
MCR02,PDT000298036.1
MCR02,PDT000298037.1
MCR02,PDT000298040.1
MCR02,PDT000298041.1
MCR02,PDT000298043.1
MCR02,PDT000298044.1
MCR02,PDT000298046.1
MCR02,PDT000298048.1
MCR02,PDT000298052.1
MCR02,PDT000298053.1
MCR02,PDT000298054.1
MCR02,PDT000298056.1
MCR02,PDT000298057.1
MCR02,PDT000298058.1
MCR02,PDT000298059.1
