,threshold,specificity,sensitivity,accuracy,tn,tp,fn,fp,npv,ppv,fdr,fpr,tpr,tnr,fnr,1-specificity,1-sensitivity,1-accuracy,1-npv,1-ppv,precision,recall,youden,closest.topleft,is_best,model
1,0,0,1,0.010364901,0,73,0,6970,NA,0.010364901,0.989635099,1,1,0,0,1,0,0.989635099,NA,0.989635099,0.010364901,1,1,1,FALSE,glm
2,0.008016404,0.885222382,0.547945205,0.881726537,6170,40,33,800,0.994679994,0.047619048,0.952380952,0.114777618,0.547945205,0.885222382,0.452054795,0.114777618,0.452054795,0.118273463,0.005320006,0.952380952,0.047619048,0.547945205,1.433167587,0.217527439,FALSE,glm
3,0.008520829,0.899713056,0.534246575,0.895925032,6271,39,34,699,0.994607454,0.052845528,0.947154472,0.100286944,0.534246575,0.899713056,0.465753425,0.100286944,0.465753425,0.104074968,0.005392546,0.947154472,0.052845528,0.534246575,1.433959631,0.226983724,FALSE,glm
4,0.009390332,0.900860832,0.534246575,0.897060912,6279,39,34,691,0.994614288,0.053424658,0.946575342,0.099139168,0.534246575,0.900860832,0.465753425,0.099139168,0.465753425,0.102939088,0.005385712,0.946575342,0.053424658,0.534246575,1.435107407,0.226754827,TRUE,glm
5,0.010122374,0.913342898,0.465753425,0.908703677,6366,34,39,604,0.993911007,0.053291536,0.946708464,0.086657102,0.465753425,0.913342898,0.534246575,0.086657102,0.534246575,0.091296323,0.006088993,0.946708464,0.053291536,0.465753425,1.379096323,0.292928857,FALSE,glm
6,0.010771193,0.917360115,0.465753425,0.912679256,6394,34,39,576,0.99393751,0.055737705,0.944262295,0.082639885,0.465753425,0.917360115,0.534246575,0.082639885,0.534246575,0.087320744,0.00606249,0.944262295,0.055737705,0.465753425,1.383113539,0.292248754,FALSE,glm
7,0.011346665,0.918077475,0.438356164,0.913105211,6399,32,41,571,0.99363354,0.053067993,0.946932007,0.081922525,0.438356164,0.918077475,0.561643836,0.081922525,0.561643836,0.086894789,0.00636646,0.946932007,0.053067993,0.438356164,1.356433639,0.322155098,FALSE,glm
8,0.011473788,0.918220947,0.438356164,0.913247196,6400,32,41,570,0.993634529,0.053156146,0.946843854,0.081779053,0.438356164,0.918220947,0.561643836,0.081779053,0.561643836,0.086752804,0.006365471,0.946843854,0.053156146,0.438356164,1.356577111,0.322131612,FALSE,glm
9,0.011614041,0.918507891,0.438356164,0.913531166,6402,32,41,568,0.993636505,0.053333333,0.946666667,0.081492109,0.438356164,0.918507891,0.561643836,0.081492109,0.561643836,0.086468834,0.006363495,0.946666667,0.053333333,0.438356164,1.356864055,0.322084762,FALSE,glm
10,0.012188286,0.919225251,0.438356164,0.91424109,6407,32,41,563,0.993641439,0.053781513,0.946218487,0.080774749,0.438356164,0.919225251,0.561643836,0.080774749,0.561643836,0.08575891,0.006358561,0.946218487,0.053781513,0.438356164,1.357581415,0.321968358,FALSE,glm
