"","Odds.Ratio"
"aac(2')-IIa",-7.79605797047653
"aac(3)",-5.21335222600432
"aac(3)-I",-10.2813416269323
"aac(3)-Ib",-9.58816017909428
"aac(3)-II",-4.79668920157221
"aac(3)-IIa",-4.2290437293751
"aac(3)-IId",-3.73721366113553
"aac(3)-IV",-4.41717740574409
"aac(3)-VIa",-4.52116528670873
"aac(6')",-8.48941081037398
"aac(6')-33",-9.58816017909246
"aac(6')-Ia",-9.58816017908942
"aac(6')-Ian",-9.58816017908666
"aac(6')-Ib",-4.75535431589359
"aac(6')-Ib-cr",-4.51155257925195
"aac(6')-Ib-cr5",-4.44369183929788
"aac(6')-Ib-cr7",-10.2813416269309
"aac(6')-Ib'",-7.508238774637
"aac(6')-Ib11",-8.48941081037007
"aac(6')-Ib3",-6.40852879105339
"aac(6')-Ib4",-7.18957931752022
"aac(6')-IIa",-9.58816017908779
"aac(6')-IIc",-8.48941081037594
"aac(6')-Il",-7.64183873284368
"aacA",-10.2813416269336
"aacA34",-10.2813416269309
"aad9",-8.89494444629629
"aadA1",-1.98889157667031
"aadA10",-10.2813416269349
"aadA12",-6.56639795890421
"aadA13",-7.23613362376411
"aadA15",-7.64183873284712
"aadA16",-6.56639795890504
"aadA17",-10.2813416269391
"aadA2",-3.10921130842525
"aadA21",-9.1826608028636
"aadA22",-5.75642992223071
"aadA24",-6.5187012805043
"aadA25",-7.23613362376345
"aadA3",-9.18266080287502
"aadA4",-7.88310361771076
"aadA5",-3.01456479504398
"aadA6",-6.98461338995612
"aadA7",-6.49567744579257
"aadA8",-8.67176663836954
"aadD1",-9.58816017909231
"abc-f",-7.50823877463807
"ampC",-4.65881472824432
"ant",-7.79605797047967
"ant(2'')-Ia",-5.51518485421399
"ant(3'')",-4.84861722623646
"ant(3'')-Ia",-8.48941081037227
"ant(6)",-10.2813416269323
"aph(3'')",-5.45683637150142
"aph(3'')-Ib",-1.18893292543567
"aph(3')",-7.71598098539272
"aph(3')-I",-8.08384287982054
"aph(3')-Ia",-2.76132232375117
"aph(3')-Ib",-10.2813416269323
"aph(3')-II",-7.39038716837352
"aph(3')-IIa",-4.77581177266591
"aph(3')-VI",-8.20166019081011
"aph(3')-VIa",-9.58816017908688
"aph(3')-VIb",-10.2813416269309
"aph(3')-XV",-8.89494444629625
"aph(4)-Ia",-4.534124517661
"aph(6)-I",-5.09347443382972
"aph(6)-Ic",-5.69304475828304
"aph(6)-Id",-1.19257456087006
"armA",-7.0223879888493
"arr",-7.18957931751584
"arr-2",-6.81454289241936
"arr-3",-5.30661616936414
"bla",-4.80516170615524
"blaACC",-9.58816017909055
"blaACC-1",-9.58816017908779
"blaACC-1d",-10.2813416269356
"blaACT",-8.67176663836807
"blaACT-17",-8.89494444630197
"blaACT-4",-10.2813416269397
"blaACT-45",-10.2813416269417
"blaACT-52",-10.2813416269391
"blaCAR",-10.2813416269435
"blaCARB",-10.2813416269397
"blaCARB-2",-6.49567744579684
"blaCMY",-6.20181474696506
"blaCMY-111",-10.2813416269323
"blaCMY-140",-9.5881601790887
"blaCMY-16",-9.18266080287169
"blaCMY-2",-3.91959985079352
"blaCMY-23",-10.281341626939
"blaCMY-24",-10.2813416269435
"blaCMY-33",-10.2813416269393
"blaCMY-4",-7.5082387746366
"blaCMY-42",-6.42961652145915
"blaCMY-44",-10.2813416269304
"blaCMY-48",-9.58816017909109
"blaCMY-58",-10.2813416269407
"blaCMY-59",-10.2813416269435
"blaCMY-6",-7.3903871683697
"blaCMY-65",-10.2813416269345
"blaCMY-7",-9.58816017909599
"blaCMY-75",-10.2813416269391
"blaCMY-82",-10.2813416269418
"blaCTX-M",-6.47317027227612
"blaCTX-M-1",-5.01205047441509
"blaCTX-M-104",-10.2813416269307
