"","Odds.Ratio"
"aac(2')-IIa",0.000411353354109254
"aac(3)",0.00544339557637446
"aac(3)-I",3.42665250318283e-05
"aac(3)-Ib",6.85353985449761e-05
"aac(3)-II",0.00825703923714776
"aac(3)-IIa",0.0145663132278833
"aac(3)-IId",0.0238203824074309
"aac(3)-IV",0.0120682480233754
"aac(3)-VIa",0.0108763422241968
"aac(6')",0.000205634382074812
"aac(6')-33",6.85353985451004e-05
"aac(6')-Ia",6.8535398545309e-05
"aac(6')-Ian",6.85353985454982e-05
"aac(6')-Ib",0.00860549508936448
"aac(6')-Ib-cr",0.0109813974437838
"aac(6')-Ib-cr5",0.0117524700989528
"aac(6')-Ib-cr7",3.42665250318765e-05
"aac(6')-Ib'",0.000548546352189611
"aac(6')-Ib11",0.000205634382075614
"aac(6')-Ib3",0.00164744645800017
"aac(6')-Ib4",0.000754406419311064
"aac(6')-IIa",6.85353985454206e-05
"aac(6')-IIc",0.000205634382074408
"aac(6')-Il",0.000479945149319148
"aacA",3.4266525031781e-05
"aacA34",3.42665250318765e-05
"aad9",0.000137080193921945
"aadA1",0.13684702584734
"aadA10",3.42665250317383e-05
"aadA12",0.00140685584890241
"aadA13",0.000720090525667269
"aadA15",0.000479945149317501
"aadA16",0.00140685584890124
"aadA17",3.42665250315946e-05
"aadA2",0.0446361456132888
"aadA21",0.000102806620746977
"aadA22",0.00316238141700503
"aadA24",0.00147558422848407
"aadA25",0.000720090525667748
"aadA3",0.000102806620745802
"aadA4",0.000377060985739849
"aadA5",0.0490671851230896
"aadA6",0.000926021236536703
"aadA7",0.00150995195613205
"aadA8",0.000171356112381837
"aadD1",6.85353985451105e-05
"abc-f",0.000548546352189027
"ampC",0.0094776893844197
"ant",0.00041135335410796
"ant(2'')-Ia",0.00402518319760692
"ant(3'')",0.00783920991193942
"ant(3'')-Ia",0.000205634382075162
"ant(6)",3.42665250318283e-05
"aph(3'')",0.00426703372340707
"aph(3'')-Ib",0.304546064101625
"aph(3')",0.00044564807568515
"aph(3')-I",0.000308483290487816
"aph(3')-Ia",0.0632081314608012
"aph(3')-Ib",3.42665250318283e-05
"aph(3')-II",0.0006171569635901
"aph(3')-IIa",0.00843123706092718
"aph(3')-VI",0.000274197970934624
"aph(3')-VIa",6.85353985454832e-05
"aph(3')-VIb",3.42665250318765e-05
"aph(3')-XV",0.000137080193921951
"aph(4)-Ia",0.0107363025564648
"aph(6)-I",0.00613666138039415
"aph(6)-Ic",0.00336931857515082
"aph(6)-Id",0.303439035284279
"armA",0.000891693594027156
"arr",0.000754406419314369
"arr-2",0.00109769484614775
"arr-3",0.00495867768594344
"bla",0.00818737695807352
"blaACC",6.85353985452318e-05
"blaACC-1",6.85353985454206e-05
"blaACC-1d",3.42665250317134e-05
"blaACT",0.00017135611238209
"blaACT-17",0.000137080193921167
"blaACT-4",3.42665250315739e-05
"blaACT-45",3.42665250315034e-05
"blaACT-52",3.42665250315946e-05
"blaCAR",3.42665250314436e-05
"blaCARB",3.42665250315741e-05
"blaCARB-2",0.0015099519561256
"blaCMY",0.00202575107295575
"blaCMY-111",3.42665250318283e-05
"blaCMY-140",6.85353985453583e-05
"blaCMY-16",0.000102806620746145
"blaCMY-2",0.0198490357313718
"blaCMY-23",3.42665250315964e-05
"blaCMY-24",3.42665250314436e-05
"blaCMY-33",3.42665250315867e-05
"blaCMY-4",0.000548546352189829
"blaCMY-42",0.00161306929335516
"blaCMY-44",3.42665250318918e-05
"blaCMY-48",6.85353985451942e-05
"blaCMY-58",3.42665250315384e-05
"blaCMY-59",3.42665250314436e-05
"blaCMY-6",0.000617156963592461
"blaCMY-65",3.42665250317512e-05
"blaCMY-7",6.85353985448589e-05
"blaCMY-75",3.42665250315946e-05
"blaCMY-82",3.42665250315019e-05
"blaCTX-M",0.00154432204266036
"blaCTX-M-1",0.00665723880384421
"blaCTX-M-104",3.42665250318817e-05
"blaCTX-M-115",0.000102806620746942
"blaCTX-M-116",3.42665250318283e-05
"blaCTX-M-123",0.000377060985739307
"blaCTX-M-125",0.000102806620746086
"blaCTX-M-132",3.42665250318967e-05
"blaCTX-M-134",3.42665250314436e-05
"blaCTX-M-14",0.0128058302967456
"blaCTX-M-15",0.0327329346403005
"blaCTX-M-166",3.42665250315946e-05
"blaCTX-M-174",6.85353985447116e-05
"blaCTX-M-179",3.42665250316669e-05
"blaCTX-M-182",3.42665250317179e-05
"blaCTX-M-2",0.000823045267487628
"blaCTX-M-24",0.000411353354111216
"blaCTX-M-27",0.0055819722968911
"blaCTX-M-3",0.00113203664039453
"blaCTX-M-32",0.000479945149315497
"blaCTX-M-55",0.0105263157901997
"blaCTX-M-64",0.000137080193921294
"blaCTX-M-65",0.00264541181648653
"blaCTX-M-8",0.00106335540875802
"blaCTX-M-9",6.85353985453716e-05
"blaDHA",6.85353985446981e-05
"blaDHA-1",0.00161306929334942
"blaDHA-20",3.42665250316366e-05
"blaDHA-7",3.42665250315946e-05
"blaEC",28.0967098704021
"blaEC-15",6.85353985450124e-05
"blaEC-5",0.0226364847256582
"blaFOX",3.42665250317134e-05
"blaFOX-5",0.000137080193921747
"blaGES",3.42665250314436e-05
"blaGES-5",0.000137080193922269
"blaGIL",3.42665250314436e-05
"blaHER",0.000274197970933838
"blaHER-3",0.00185375901132249
"blaI",6.85353985454269e-05
"blaIMI",3.42665250314436e-05
"blaIMP-1",0.000102806620746798
"blaIMP-14",3.42665250318765e-05
"blaIMP-26",3.42665250319178e-05
"blaIMP-27",0.000102806620746635
"blaIMP-4",0.000239915001543056
"blaIMP-6",3.42665250314436e-05
"blaKPC",3.42665250318283e-05
"blaKPC-18",3.42665250318283e-05
"blaKPC-2",0.00181936768391914
"blaKPC-3",0.00133813690204024
"blaKPC-4",0.000171356112381985
"blaLAP",6.85353985451441e-05
"blaLAP-1",3.4266525031656e-05
"blaLAP-2",0.000823045267488862
"blaLAT",3.42665250319208e-05
"blaLEN-13",3.42665250314436e-05
"blaMIR-12",3.42665250314436e-05
"blaNDM",6.85353985450643e-05
"blaNDM-1",0.00216338724632615
"blaNDM-21",3.42665250314436e-05
"blaNDM-4",0.000137080193922002
"blaNDM-5",0.00437071962011931
"blaNDM-6",3.42665250318283e-05
"blaNDM-7",0.000342770974751338
"blaNDM-9",0.00106335540875869
"blaOCH",6.85353985454429e-05
"blaOKP",3.42665250314436e-05
"blaOXA",0.00216338724632119
"blaOXA-1",0.0470347662667768
"blaOXA-10",0.001200727299299
"blaOXA-129",3.42665250316234e-05
"blaOXA-163",3.42665250318765e-05
"blaOXA-181",0.000548546352194164
"blaOXA-2",0.00116638079142522
"blaOXA-232",0.000102806620746942
"blaOXA-244",0.000205634382075536
"blaOXA-364",3.42665250318997e-05
"blaOXA-4",6.85353985453862e-05
"blaOXA-48",0.000926021236538843
"blaOXA-9",0.000960351241185407
"blaOXY",0.000102806620747017
"blaPC1",3.42665250315236e-05
"blaPER-2",3.42665250316305e-05
"blaPSE",3.42665250319137e-05
"blaR1",3.42665250318283e-05
"blaROB",3.42665250318283e-05
"blaSED",6.85353985452943e-05
"blaSFO-1",3.42665250319033e-05
"blaSHV",0.000171356112381899
"blaSHV-1",0.000548546352188852
"blaSHV-11",6.85353985453131e-05
"blaSHV-12",0.00247320705453114
"blaSHV-2",0.000171356112380672
"blaSHV-26",3.42665250317501e-05
"blaSHV-27",3.42665250315946e-05
"blaSHV-2A",0.000102806620745971
"blaSHV-33",3.42665250314436e-05
"blaSHV-5",6.85353985451e-05
"blaSHV-7",0.000102806620746906
"blaSRT",0.000102806620746571
"blaTEM",0.00864035392230348
"blaTEM-1",0.240869084569851
"blaTEM-10",0.000102806620746956
"blaTEM-105",3.42665250318768e-05
"blaTEM-116",0.000857368222506671
"blaTEM-12",0.000205634382074635
"blaTEM-135",0.00102901832843201
"blaTEM-148",3.42665250316392e-05
"blaTEM-154",3.42665250317075e-05
"blaTEM-156",3.42665250317948e-05
"blaTEM-166",3.42665250318283e-05
"blaTEM-169",0.000102806620746155
"blaTEM-176",0.000171356112380977
"blaTEM-181",6.85353985450179e-05
"blaTEM-19",0.000171356112380722
"blaTEM-190",0.000308483290488301
"blaTEM-20",3.42665250318283e-05
"blaTEM-207",3.42665250318283e-05
"blaTEM-208",3.42665250315946e-05
"blaTEM-210",6.85353985450015e-05
"blaTEM-215",0.000102806620746255
"blaTEM-26",3.42665250316666e-05
"blaTEM-3",3.42665250314436e-05
"blaTEM-30",0.000720090525667895
"blaTEM-32",6.85353985449615e-05
"blaTEM-33",0.000205634382076474
"blaTEM-34",6.85353985449815e-05
"blaTEM-35",0.000205634382074682
"blaTEM-40",0.000514244574789971
"blaTEM-52",0.000445648075687132
"blaTEM-54",3.42665250315396e-05
"blaTEM-57",0.000411353354109363
"blaTEM-8",3.42665250314436e-05
"blaTEM-84",6.85353985448182e-05
"blaTEM-9",3.42665250314436e-05
"blaVEB-1",3.42665250316401e-05
"blaVEB-17",3.42665250314436e-05
"blaVEB-5",3.42665250315876e-05
"blaVIM-1",0.000102806620747228
"blaVIM-29",3.42665250319178e-05
"blaVIM-4",3.42665250319232e-05
"blaZ",3.42665250318283e-05
"ble",0.0136853073984289
"ble-Sh",6.85353985454206e-05
"bleO",0.0144605116796462
"catA",0.000754406419310944
"catA1",0.0556319179543497
"catA2",0.00243877320810334
"catA3",6.85353985454206e-05
"catB",0.000137080193922012
"catB1",3.42665250315946e-05
"catB11",6.85353985450722e-05
"catB2",0.00013708019392138
"catB3",0.00965230929179174
"catB8",3.42665250316121e-05
"cfr",6.85353985454206e-05
"clpK",0.00157869448832548
"cmlA",0.000548546352190257
"cmlA1",0.0234972294537346
"cmlA4",3.42665250315098e-05
"cmlA5",0.00150995195612633
"cmlA6",0.000651465798045852
"cphA",6.85353985453577e-05
"cphA1",3.42665250317134e-05
"dfr7",0.000308483290489079
"dfrA",0.000960351241184291
"dfrA1",0.0765825586547617
"dfrA10",0.000102806620745678
"dfrA12",0.0367317939609746
"dfrA14",0.0301083618655308
"dfrA15",0.00185375901133073
"dfrA16",0.000685776985323286
"dfrA17",0.0534599143360077
"dfrA19",0.000651465798050186
"dfrA21",6.85353985454361e-05
"dfrA22",3.42665250318873e-05
"dfrA23",0.000308483290488686
"dfrA24",0.000102806620746971
"dfrA25",0.000342770974754055
"dfrA26",3.42665250318765e-05
"dfrA27",0.000994683605627702
"dfrA3b",0.000205634382074466
"dfrA5",0.0128761323014446
"dfrA6",3.42665250316305e-05
"dfrA7",0.0102814414798774
"dfrA8",0.0159791122715317
"dfrB1",0.000171356112382465
"dfrB4",0.000239915001542279
"dfrF",3.42665250319002e-05
"ere(A)",0.000960351241190648
"ere(B)",0.000205634382074952
"ere(C)",3.42665250315946e-05
"erm",6.85353985454206e-05
"erm-23S_rRNA",0.000102806620746479
"erm(42)",0.000582850481719948
"erm(B)",0.0104563395894766
"erm(C)",3.42665250318158e-05
"erm(F)",3.4266525031672e-05
"erm(T)",0.00047994514931908
"floR",0.0505777751229438
"fos",0.000548546352189149
"fosA",0.00651836523540093
"fosA3",0.00951260853357601
