"","set","count","numcoop","numself","numunkn","ratio","pctcoop","pctself"
"1","all",10,4,6,0,0.666666666666667,0.4,0.6
"2","all",1,1,0,0,Inf,1,0
"3","all",1,1,0,0,Inf,1,0
"4","all",1,1,0,0,Inf,1,0
"5","all",1,1,0,0,Inf,1,0
"6","all",5,2,3,0,0.666666666666667,0.4,0.6
"7","all",1,1,0,0,Inf,1,0
"8","all",1,1,0,0,Inf,1,0
"9","all",1,1,0,0,Inf,1,0
"10","all",1,1,0,0,Inf,1,0
"11","all",1,1,0,0,Inf,1,0
"12","all",3,1,2,0,0.5,0.333333333333333,0.666666666666667
"13","all",1,1,0,0,Inf,1,0
"14","all",1,1,0,0,Inf,1,0
"15","all",1,1,0,0,Inf,1,0
"16","all",7,3,4,0,0.75,0.428571428571429,0.571428571428571
"17","all",7,3,4,0,0.75,0.428571428571429,0.571428571428571
"18","all",1,1,0,0,Inf,1,0
"19","all",2,1,1,0,1,0.5,0.5
"20","all",1,1,0,0,Inf,1,0
"21","all",1,1,0,0,Inf,1,0
"22","all",1,1,0,0,Inf,1,0
"23","all",8,3,5,0,0.6,0.375,0.625
"24","all",1,1,0,0,Inf,1,0
"25","all",2,2,0,0,Inf,1,0
"26","all",1,1,0,0,Inf,1,0
"27","all",1,1,0,0,Inf,1,0
"28","all",18,7,11,0,0.636363636363636,0.388888888888889,0.611111111111111
"29","all",1,1,0,0,Inf,1,0
"30","all",1,1,0,0,Inf,1,0
"31","all",1,1,0,0,Inf,1,0
"32","all",1,1,0,0,Inf,1,0
"33","all",1,1,0,0,Inf,1,0
"34","all",7,4,3,0,1.33333333333333,0.571428571428571,0.428571428571429
"35","all",1,1,0,0,Inf,1,0
"36","all",1,1,0,0,Inf,1,0
"37","all",1,1,0,0,Inf,1,0
"38","all",1,1,0,0,Inf,1,0
"39","all",1,1,0,0,Inf,1,0
"40","all",10,4,6,0,0.666666666666667,0.4,0.6
"41","all",8,3,5,0,0.6,0.375,0.625
"42","all",1,1,0,0,Inf,1,0
"43","all",1,1,0,0,Inf,1,0
"44","all",1,1,0,0,Inf,1,0
"45","all",1,1,0,0,Inf,1,0
"46","all",1,1,0,0,Inf,1,0
"47","all",1,1,0,0,Inf,1,0
"48","all",1,1,0,0,Inf,1,0
"49","all",1,1,0,0,Inf,1,0
"50","all",1,1,0,0,Inf,1,0
"51","all",1,1,0,0,Inf,1,0
"52","all",1,1,0,0,Inf,1,0
"53","all",1,1,0,0,Inf,1,0
"54","all",3,1,2,0,0.5,0.333333333333333,0.666666666666667
"55","all",1,1,0,0,Inf,1,0
"56","all",4,1,3,0,0.333333333333333,0.25,0.75
"57","all",1,1,0,0,Inf,1,0
"58","all",1,1,0,0,Inf,1,0
"59","all",1,1,0,0,Inf,1,0
"60","all",9,4,5,0,0.8,0.444444444444444,0.555555555555556
"61","all",2,2,0,0,Inf,1,0
"62","all",1,1,0,0,Inf,1,0
"63","all",1,1,0,0,Inf,1,0
"64","all",6,3,3,0,1,0.5,0.5
"65","all",1,1,0,0,Inf,1,0
"66","all",4,2,2,0,1,0.5,0.5
"67","all",1,1,0,0,Inf,1,0
"68","all",8,4,4,0,1,0.5,0.5
"69","all",1,1,0,0,Inf,1,0
"70","all",8,1,7,0,0.142857142857143,0.125,0.875
"71","all",1,1,0,0,Inf,1,0
"72","all",10,4,6,0,0.666666666666667,0.4,0.6
"73","all",9,3,6,0,0.5,0.333333333333333,0.666666666666667
"74","all",2,1,1,0,1,0.5,0.5
"75","all",7,2,5,0,0.4,0.285714285714286,0.714285714285714
"76","all",12,5,7,0,0.714285714285714,0.416666666666667,0.583333333333333
"77","all",1,1,0,0,Inf,1,0
"78","all",12,4,8,0,0.5,0.333333333333333,0.666666666666667
"79","all",1,1,0,0,Inf,1,0
"80","all",2,1,1,0,1,0.5,0.5
"81","all",10,4,6,0,0.666666666666667,0.4,0.6
"82","all",2,1,1,0,1,0.5,0.5
"83","all",11,5,6,0,0.833333333333333,0.454545454545455,0.545454545454545
"84","all",3,1,2,0,0.5,0.333333333333333,0.666666666666667
"85","all",1,1,0,0,Inf,1,0
"86","all",7,2,5,0,0.4,0.285714285714286,0.714285714285714
"87","all",1,1,0,0,Inf,1,0
"88","all",10,4,6,0,0.666666666666667,0.4,0.6
"89","all",1,1,0,0,Inf,1,0
"90","all",3,1,2,0,0.5,0.333333333333333,0.666666666666667
"91","all",8,3,5,0,0.6,0.375,0.625
"92","all",1,1,0,0,Inf,1,0
"93","all",8,3,5,0,0.6,0.375,0.625
"94","all",10,4,6,0,0.666666666666667,0.4,0.6
"95","all",1,1,0,0,Inf,1,0
"96","all",1,1,0,0,Inf,1,0
"97","all",2,1,1,0,1,0.5,0.5
"98","all",3,1,2,0,0.5,0.333333333333333,0.666666666666667
"99","all",1,1,0,0,Inf,1,0
"100","all",1,1,0,0,Inf,1,0
"101","all",1,1,0,0,Inf,1,0
"102","all",2,1,1,0,1,0.5,0.5
"103","all",10,3,7,0,0.428571428571429,0.3,0.7
"104","all",3,1,2,0,0.5,0.333333333333333,0.666666666666667
"105","all",1,1,0,0,Inf,1,0
"106","all",3,2,1,0,2,0.666666666666667,0.333333333333333
"107","all",2,1,1,0,1,0.5,0.5
"108","all",11,3,8,0,0.375,0.272727272727273,0.727272727272727
"109","all",2,1,1,0,1,0.5,0.5
"110","all",9,3,6,0,0.5,0.333333333333333,0.666666666666667
"111","all",12,4,8,0,0.5,0.333333333333333,0.666666666666667
"112","all",10,2,8,0,0.25,0.2,0.8
"113","all",15,6,9,0,0.666666666666667,0.4,0.6
"114","all",1,1,0,0,Inf,1,0
"115","all",2,2,0,0,Inf,1,0
"116","all",5,3,2,0,1.5,0.6,0.4
"117","all",5,3,2,0,1.5,0.6,0.4
"118","all",3,1,2,0,0.5,0.333333333333333,0.666666666666667
"119","all",17,5,12,0,0.416666666666667,0.294117647058824,0.705882352941177
"120","all",14,4,10,0,0.4,0.285714285714286,0.714285714285714
