lhs,rhs,size,support,confidence,lift,count,method,id,oddsratio
"aadA1,aadA2,blaEC,bleO,cmlA1,qacL,sul3",mcr,8,0.002331807582692806,0.7012987012987013,39.95246082330953,108,arm,1,NA
"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3",mcr,8,0.0025693065031522585,0.672316384180791,38.30135996275217,119,arm,2,NA
"blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)",mcr,8,0.002461352448397962,0.6745562130177515,38.42896133103343,114,arm,3,NA
"aadA1,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3",mcr,8,0.0023749892045945246,0.6666666666666666,37.97949979499795,110,arm,4,NA
"aadA1,aadA2,blaEC,cmlA1,dfrA12,floR,sul3",mcr,8,0.002331807582692806,0.6666666666666666,37.97949979499795,108,arm,5,NA
"aadA1,blaEC,cmlA1,dfrA12,floR,sul3,tet(A)",mcr,8,0.002288625960791087,0.6708860759493671,38.219876375978956,106,arm,6,NA
"aadA1,aadA2,blaEC,bleO,cmlA1,dfrA12,qacL,sul3",mcr,9,0.0019647637965281976,0.7844827586206896,44.691394155320864,91,arm,7,NA
"aadA1,aadA2,blaEC,bleO,cmlA1,floR,qacL,sul3",mcr,9,0.0017056740651178858,0.797979797979798,45.460310360679365,79,arm,8,NA
"aadA1,aadA2,blaEC,bleO,cmlA1,qacL,sul3,tet(A)",mcr,9,0.0017272648760687452,0.6896551724137931,39.289137718963396,80,arm,9,NA
"aadA1,aph(3')-Ia,blaEC,cmlA1,dfrA12,floR,qacL,sul3",mcr,9,0.0016840832541670265,0.7090909090909091,40.39637705467964,78,arm,10,NA
"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)",mcr,9,0.0022238535279385093,0.6688311688311688,38.102809859267424,103,arm,11,NA
"aadA2,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul3,tet(A)",mcr,9,0.0019431729855773382,0.6666666666666666,37.97949979499795,90,arm,12,NA
"aadA1,aadA2,blaEC,cmlA1,oqxA,oqxB,qacL,sul3,tet(A)",mcr,10,0.0014249935227567147,0.8148148148148148,46.41938863833083,66,arm,13,NA
"aadA1,aadA2,blaEC,bleO,cmlA1,dfrA12,qacL,sul3,tet(A)",mcr,10,0.001446584333707574,0.7790697674418605,44.383020109270866,67,arm,14,NA
"aadA1,aadA2,blaEC,bleO,cmlA1,floR,qacL,sul3,tet(A)",mcr,10,0.0013818119008549962,0.7619047619047619,43.40514262285479,64,arm,15,NA
"aadA1,aadA2,aph(3')-Ia,blaEC,cmlA1,dfrA12,floR,qacL,sul3",mcr,10,0.0014034027118058554,0.7065217391304348,40.25001336969892,65,arm,16,NA
"aadA1,aadA2,blaEC,cmlA1,dfrA12,floR,qacL,sul2,sul3",mcr,10,0.0014249935227567147,0.6804123711340206,38.76258226499791,66,arm,17,NA
"aadA1,aph(3')-Ia,blaEC,cmlA1,dfrA12,floR,qacL,sul3,tet(A)",mcr,10,0.001446584333707574,0.7204301075268817,41.04236268169134,67,arm,18,NA
"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul2,sul3,tet(A)",mcr,10,0.0014249935227567147,0.6875,39.166359163591636,66,arm,19,NA
"aadA1,aadA2,aph(3')-Ia,blaEC,cmlA1,floR,qacL,sul2,sul3",mcr,10,0.0014249935227567147,0.6666666666666666,37.97949979499795,66,arm,20,NA
