"","id","collection_year","country","isolation_type","isolation_source","set","count","numcoop","numself","numunkn","ratio","pctcoop","pctself"
"1","PDT000123337.1",2013,"Netherlands","clinical","stool","clinicalmcrisolates",11,4,7,0,0.571428571428571,0.363636363636364,0.636363636363636
"2","PDT000129097.2",2015,"Denmark","clinical",NA,"clinicalmcrisolates",13,5,8,0,0.625,0.384615384615385,0.615384615384615
"3","PDT000129704.1",2013,"Viet Nam","clinical","feces","clinicalmcrisolates",17,6,11,0,0.545454545454545,0.352941176470588,0.647058823529412
"4","PDT000130968.1",2015,"China","clinical","liver ascites","clinicalmcrisolates",11,4,7,0,0.571428571428571,0.363636363636364,0.636363636363636
"5","PDT000132483.8",2016,"USA","clinical","Clinical","clinicalmcrisolates",9,4,5,0,0.8,0.444444444444444,0.555555555555556
"6","PDT000137641.2",2016,"USA","clinical",NA,"clinicalmcrisolates",7,3,4,0,0.75,0.428571428571429,0.571428571428571
"7","PDT000142661.1",2014,"USA","clinical","urine culture","clinicalmcrisolates",11,5,6,0,0.833333333333333,0.454545454545455,0.545454545454545
"8","PDT000144602.1",2016,"Brunei","clinical","farm","clinicalmcrisolates",14,5,9,0,0.555555555555556,0.357142857142857,0.642857142857143
"9","PDT000163381.1",2016,"Germany","clinical","Clinical","clinicalmcrisolates",14,6,8,0,0.75,0.428571428571429,0.571428571428571
"10","PDT000163382.1",2016,"USA","clinical","Clinical","clinicalmcrisolates",14,6,8,0,0.75,0.428571428571429,0.571428571428571
"11","PDT000163383.1",2016,"USA","clinical","Clinical","clinicalmcrisolates",14,6,8,0,0.75,0.428571428571429,0.571428571428571
"12","PDT000163384.1",2016,"USA","clinical","Clinical","clinicalmcrisolates",14,6,8,0,0.75,0.428571428571429,0.571428571428571
"13","PDT000171442.1",2016,"Brazil","clinical","blood","clinicalmcrisolates",11,5,6,0,0.833333333333333,0.454545454545455,0.545454545454545
"14","PDT000173623.1",2016,"Brazil","clinical","blood","clinicalmcrisolates",12,5,7,0,0.714285714285714,0.416666666666667,0.583333333333333
"15","PDT000176456.1",2015,"China","clinical","faeces","clinicalmcrisolates",19,7,12,0,0.583333333333333,0.368421052631579,0.631578947368421
"16","PDT000177244.1",2016,"Austria","clinical","stool","clinicalmcrisolates",14,5,9,0,0.555555555555556,0.357142857142857,0.642857142857143
"17","PDT000177245.1",2013,"Brazil","clinical","foot pad lesion","clinicalmcrisolates",8,4,4,0,1,0.5,0.5
