pdt,mcr_group
PDT000048128.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000064571.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000104797.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000107785.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000124608.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000124650.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000124651.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000124672.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000124674.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000124681.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000124686.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000129704.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000135480.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000136714.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000144602.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000157498.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000161408.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168712.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168715.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168742.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168759.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168760.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168769.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168781.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168786.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168790.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168803.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168806.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168824.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168830.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168833.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168848.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168853.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168861.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000168877.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000171419.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000171422.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000171801.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000176456.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000181672.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000181699.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000181720.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000181748.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000181749.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000181757.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000181759.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000181760.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000181773.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000181818.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000181841.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000190678.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000202755.3,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000210706.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000212780.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000212781.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000212783.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000212793.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000219684.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000219686.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000219688.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000222020.2,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000225236.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000233270.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000233279.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
PDT000233289.1,"aadA1,blaEC,cmlA1,dfrA12,floR,qacL,sul3=>mcr"
